entry_type,cluster_id,source_lane,signal_cluster_id,expression,score,turnover,daily_evidence_status,remaining_blocker,ablation_role,ablation_kind,harvest_label,canonical_expression,score_float,turnover_float
low_order_rescue,s47_cluster_005,agnostic_freeform_ast,cluster_002,"CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21)))",1.671616,0.073418,LOW_ORDER_RESCUE_DAILY_PROXY_PASS,own_sign_flip_and_regime_tests_not_run,component_3,top_level_mul_component,initial,"CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21)))",1.671616,0.073418
low_order_rescue,s47_cluster_005,agnostic_freeform_ast,cluster_010,"CSRank(Mul(CSRank(Std($open,8)),ZScore(Mean(Abs(Delta($vwap,1)),21))))",1.617685,0.199872,LOW_ORDER_RESCUE_DAILY_PROXY_PASS,own_sign_flip_and_regime_tests_not_run,drop_component_1,leave_one_out_mul_component,initial,"CSRank(Mul(CSRank(Std($open,8)),ZScore(Mean(Abs(Delta($vwap,1)),21))))",1.617685,0.199872
full_formula_survivor,s50_cluster_005,formula_gen_v2_repair_expansion,cluster_011,"CSRank(Mul(CSRank(Mul(ZScore(Mean($amount,34)),ZScore(Mean($final_float_market_cap,8)))),ZScore(Mean(Abs(Delta($close,1)),20))))",1.590935,0.065529,FULL_FORMULA_DAILY_PASS_EX_REGIME,true_regime_bucket_replay_not_run,,,initial,"CSRank(Mul(CSRank(Mul(ZScore(Mean($amount,34)),ZScore(Mean($final_float_market_cap,8)))),ZScore(Mean(Abs(Delta($close,1)),20))))",1.590935,0.065529
full_formula_survivor,s48_cluster_008,r0_cem_led,cluster_007,"CSRank(Mul(ZScore(Mean(Abs($close),8)),ZScore(Mean(Abs($amount),21))))",1.564433,0.051814,FULL_FORMULA_DAILY_PASS_EX_REGIME,true_regime_bucket_replay_not_run,,,initial,"CSRank(Mul(ZScore(Mean(Abs($close),8)),ZScore(Mean(Abs($amount),21))))",1.564433,0.051814
full_formula_survivor,cluster_031,formula_gen_v2_repair_expansion,cluster_007,"CSRank(Mul(CSRank(CSResidual(CSRank(CSRank($close)),CSRank(Log($final_total_market_cap)))),ZScore(Mean(Abs(Delta($close,1)),20))))",1.541851,0.103397,FULL_FORMULA_DAILY_PASS_EX_REGIME,true_regime_bucket_replay_not_run,,,fresh,"CSRank(Mul(CSRank(CSResidual(CSRank(CSRank($close)),CSRank(Log($final_total_market_cap)))),ZScore(Mean(Abs(Delta($close,1)),20))))",1.541851,0.103397
full_formula_survivor,s52_cluster_013,agnostic_freeform_ast,cluster_008,"CSRank(CSResidual(ZScore(Mean(Abs(Delta($open,1)),34)),CSRank($high)))",1.507126,0.069113,FULL_FORMULA_DAILY_PASS_EX_REGIME,true_regime_bucket_replay_not_run,,,fresh,"CSRank(CSResidual(ZScore(Mean(Abs(Delta($open,1)),34)),CSRank($high)))",1.507126,0.069113
low_order_rescue,cluster_017,agnostic_freeform_ast,cluster_006,"CSRank(Mul(CSRank($open),CSRank(Mean($amount,8))))",1.462002,0.076805,LOW_ORDER_RESCUE_DAILY_PROXY_PASS,own_sign_flip_and_regime_tests_not_run,drop_component_1,leave_one_out_mul_component,initial,"CSRank(Mul(CSRank($open),CSRank(Mean($amount,8))))",1.462002,0.076805
full_formula_survivor,s53_cluster_002,agnostic_freeform_ast,cluster_011,"CSRank(Add(Sign(Mom($final_total_market_cap,34)),CSRank(Mean(Abs(Delta($open,1)),34))))",1.420147,0.143169,FULL_FORMULA_DAILY_PASS_EX_REGIME,true_regime_bucket_replay_not_run,,,fresh,"CSRank(Add(Sign(Mom($final_total_market_cap,34)),CSRank(Mean(Abs(Delta($open,1)),34))))",1.420147,0.143169
full_formula_survivor,s53_cluster_001,agnostic_freeform_ast,cluster_002,"CSRank(Mean($low,34))",1.254644,0.03179,FULL_FORMULA_DAILY_PASS_EX_REGIME,true_regime_bucket_replay_not_run,,,fresh,"CSRank(Mean($low,34))",1.254644,0.03179
full_formula_survivor,cluster_014,formula_gen_v2_repair_expansion,cluster_009,"CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($final_float_market_cap,34))))",1.229064,0.027425,FULL_FORMULA_DAILY_PASS_EX_REGIME,true_regime_bucket_replay_not_run,,,initial,"CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($final_float_market_cap,34))))",1.229064,0.027425
